COF,absIC
ElectricEquipment-->Level1Z1:Zone5 Computing gain 1-->Design Level,0.007046463
ElectricEquipment-->Level1Z1:Zone5 Equipment 2-->Design Level,0.007046463
Material-->Standard insulation_0.0159-->Visible Absorptance,0.007031544
ElectricEquipment-->Level0:Zone29 Equipment 1-->Design Level,0.006994616
ElectricEquipment-->Level1Z1:Zone6 Computing gain 1-->Design Level,0.00698738
ElectricEquipment-->Level1Z1:Zone6 Equipment 2-->Design Level,0.00698738
Lights-->Level1:Zone4 General lighting-->Lighting Level,0.006892665
ElectricEquipment-->Level1Z1:Zone1 Computing gain 1-->Design Level,0.006831219
ElectricEquipment-->Level1Z1:Zone1 Equipment 2-->Design Level,0.006831219
ElectricEquipment-->Level0:Zone8 Equipment 1-->Design Level,0.006805141
ElectricEquipment-->Level0:Zone2 Equipment 1-->Design Level,0.006696958
Lights-->Level2:Zone12 General lighting-->Lighting Level,0.006038514
Lights-->Level0:Zone7 General lighting-->Lighting Level,0.005977846
Lights-->Level0:Zone45 General lighting-->Lighting Level,0.005808911
Lights-->Level1Z1:Zone2 General lighting-->Lighting Level,0.005797012
ElectricEquipment-->Level1:Zone6 Computing gain 1-->Design Level,0.005715143
ElectricEquipment-->Level1:Zone6 Equipment 2-->Design Level,0.005715143
ElectricEquipment-->Level1Z1:Zone11 Computing gain 1-->Design Level,0.005592798
ElectricEquipment-->Level1Z1:Zone11 Equipment 2-->Design Level,0.005592798
ElectricEquipment-->Level0:Zone31 Equipment 1-->Design Level,0.00556672
Lights-->Level1Z1:Zone43 General lighting-->Lighting Level,0.005484543
Lights-->Level1Z1:Zone39 General lighting-->Lighting Level,0.005144119
Lights-->Level1Z1:Zone10 General lighting-->Lighting Level,0.004921657
Lights-->Level1Z1:Zone12 General lighting-->Lighting Level,0.004814385
Lights-->Level1Z1:Zone3 General lighting-->Lighting Level,0.004734288
Lights-->Level1:Zone3 General lighting-->Lighting Level,0.004715854
Lights-->Level1Z1:Zone8 General lighting-->Lighting Level,0.004668471
Lights-->Level2:Zone18 General lighting-->Lighting Level,0.004614337
Lights-->Level0:Zone53 General lighting-->Lighting Level,0.004610962
ElectricEquipment-->Level0:Zone26 Equipment 1-->Design Level,0.00449781
ElectricEquipment-->Level0:Zone28 Equipment 1-->Design Level,0.004457569
Lights-->Level1Z1:Zone11 General lighting-->Lighting Level,0.004353406
Lights-->Level0:Zone26 General lighting-->Lighting Level,0.004298493
Lights-->Level1Z1:Zone5 General lighting-->Lighting Level,0.004294728
Lights-->Level1Z1:Zone36 General lighting-->Lighting Level,0.004267164
Lights-->Level1Z1:Zone1 General lighting-->Lighting Level,0.004225926
Lights-->Level2:Zone6 General lighting-->Lighting Level,0.004190832
Lights-->Level1Z1:Zone6 General lighting-->Lighting Level,0.004159503
ElectricEquipment-->Level0:Zone7 Equipment 1-->Design Level,0.004146872
Lights-->Level2:Zone4 General lighting-->Lighting Level,0.004130554
Lights-->Level2:Zone3 General lighting-->Lighting Level,0.004127784
Lights-->Level1:Zone2 General lighting-->Lighting Level,0.004037172
Lights-->Level0:Zone13 General lighting-->Lighting Level,0.004036177
ElectricEquipment-->Level0:Zone45 Equipment 1-->Design Level,0.004029829
Lights-->Level0:Zone24 General lighting-->Lighting Level,0.003952315
Lights-->Level1:Zone11 General lighting-->Lighting Level,0.003903937
Lights-->Level0:Zone27 General lighting-->Lighting Level,0.003866463
Lights-->Level2:Zone7 General lighting-->Lighting Level,0.003862698
Lights-->Level0AddedPart:Zone2 General lighting-->Lighting Level,0.003787751
Lights-->Level1Z1:Zone44 General lighting-->Lighting Level,0.003724703
ElectricEquipment-->Level0AddedPart:Zone2 Equipment 2-->Design Level,0.003721877
ElectricEquipment-->Level0AddedPart:Zone2 Computing gain 1-->Design Level,0.003721877
Lights-->Level0:Zone33 General lighting-->Lighting Level,0.003717953
Lights-->Level1Z1:Zone13 General lighting-->Lighting Level,0.003716568
Lights-->Level2:Zone5 General lighting-->Lighting Level,0.003669575
Lights-->Level1Z1:Zone28 General lighting-->Lighting Level,0.003468142
ElectricEquipment-->Level2:Zone36 Equipment 1-->Design Level,0.00341586
Lights-->Level1Z1:Zone51 General lighting-->Lighting Level,0.003389429
ElectricEquipment-->Level1Z1:Zone9 Equipment 2-->Design Level,0.003371751
ElectricEquipment-->Level1Z1:Zone9 Computing gain 1-->Design Level,0.003371751
Lights-->Level1Z1:Zone45 General lighting-->Lighting Level,0.003359485
ElectricEquipment-->Level2:Zone26 Equipment 1-->Design Level,0.003294327
Lights-->Level1Z1:Zone37 General lighting-->Lighting Level,0.003144163
ElectricEquipment-->Level2:Zone35 Equipment 1-->Design Level,0.003024181
Lights-->Level2:Zone1 General lighting-->Lighting Level,0.002967309
Material-->MW Stone Wool (rolls)_0.1439-->Visible Absorptance,0.002952284
Lights-->Level1:Zone5 General lighting-->Lighting Level,0.002822174
ElectricEquipment-->Level0:Zone27 Equipment 1-->Design Level,0.002742308
Lights-->Level1AddedPart:Zone5 General lighting-->Lighting Level,0.002611611
Lights-->Level0:Zone51 General lighting-->Lighting Level,0.002572752
ElectricEquipment-->Level1:Zone4 Equipment 2-->Design Level,0.002437413
