Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/06  01:00:00,9761104.792,11425700.04,0
 01/06  02:00:00,9761104.792,13127261.08,0
 01/06  03:00:00,9761104.792,16958166.46,0
 01/06  04:00:00,9761104.792,21103942.35,0
 01/06  05:00:00,9761104.792,26182976.19,0
 01/06  06:00:00,9761104.792,852385003.2,0
 01/06  07:00:00,14346905.25,751966742,2.44E-04
 01/06  08:00:00,491776279,793396994.1,4.80E-02
 01/06  09:00:00,474267383.2,674313122.3,6.68E-02
 01/06  10:00:00,373229642.3,652488132.3,0.103975347
 01/06  11:00:00,307730907.8,608550179.3,0.103975347
 01/06  12:00:00,280234705.9,555411725.6,0.134665347
 01/06  13:00:00,255510905.8,465266199.2,0.208148997
 01/06  14:00:00,255964476,380818794.7,0.208148997
 01/06  15:00:00,260235054.9,358834809.9,0.195800939
 01/06  16:00:00,323407454.5,312259531.3,0.103242122
 01/06  17:00:00,499076725.7,194982901.6,7.46E-02
 01/06  18:00:00,485817047.8,174253398.8,3.72E-02
 01/06  19:00:00,482700801.2,155495105.2,1.86E-02
 01/06  20:00:00,168554793.2,0,0
 01/06  21:00:00,12964410.58,0,0
 01/06  22:00:00,12964410.58,550695.4724,0
 01/06  23:00:00,12167826.12,1705930.291,0
 01/06  24:00:00,10574657.19,2384283.105,0
 01/07  01:00:00,9761104.792,3076628.611,0
 01/07  02:00:00,9761104.792,3733239.083,0
 01/07  03:00:00,9761104.792,4525844.71,0
 01/07  04:00:00,9761104.792,4916881.366,0
 01/07  05:00:00,9761104.792,5469900.296,0
 01/07  06:00:00,9761104.792,6047854.308,0
 01/07  07:00:00,9761104.792,6531836.649,0
 01/07  08:00:00,9778072.731,7052885.133,0
 01/07  09:00:00,10660430.57,7850880.835,0
 01/07  10:00:00,10660430.57,6968441.186,0
 01/07  11:00:00,10660430.57,5787113.933,0
 01/07  12:00:00,10660430.57,5559333.164,0
 01/07  13:00:00,10660430.57,5043231.857,0
 01/07  14:00:00,10660430.57,6411013.482,0
 01/07  15:00:00,10660430.57,7383226.292,0
 01/07  16:00:00,10660430.57,8197384.714,0
 01/07  17:00:00,10660430.57,9245511.715,0
 01/07  18:00:00,10660430.57,11325574.07,0
 01/07  19:00:00,9778072.731,13868393.87,0
 01/07  20:00:00,9778072.731,16285295.67,0
 01/07  21:00:00,9778072.731,18707450.33,0
 01/07  22:00:00,9778072.731,21704978.12,0
 01/07  23:00:00,9778072.731,25339414.89,0
 01/07  24:00:00,9778072.731,31473739.14,0
 01/08  01:00:00,9761104.792,34984624.14,0
 01/08  02:00:00,9761104.792,36701202.33,0
 01/08  03:00:00,9761104.792,35851634.78,0
 01/08  04:00:00,9761104.792,35559934.3,0
 01/08  05:00:00,9761104.792,36131580.22,0
 01/08  06:00:00,9761104.792,36883714.26,0
 01/08  07:00:00,9761104.792,40491104.29,0
 01/08  08:00:00,9778072.731,42739878.38,0
 01/08  09:00:00,9778072.731,42254839.66,0
 01/08  10:00:00,9778072.731,39669902.14,0
 01/08  11:00:00,9778072.731,35651435.6,0
 01/08  12:00:00,9778072.731,31595577.67,0
 01/08  13:00:00,9778072.731,29006918.27,0
 01/08  14:00:00,9778072.731,27822460.8,0
 01/08  15:00:00,9778072.731,28807666.6,0
 01/08  16:00:00,9778072.731,30844270.74,0
 01/08  17:00:00,9778072.731,30208534.26,0
 01/08  18:00:00,9778072.731,25731480.19,0
 01/08  19:00:00,9778072.731,23357825.07,0
 01/08  20:00:00,9778072.731,22109538.34,0
 01/08  21:00:00,9778072.731,20358975.43,0
 01/08  22:00:00,9778072.731,18657800.38,0
 01/08  23:00:00,9778072.731,17028128.02,0
 01/08  24:00:00,9778072.731,15283330.75,0
 01/09  01:00:00,9761104.792,13925912.84,0
 01/09  02:00:00,9761104.792,12808195.28,0
 01/09  03:00:00,9761104.792,11819231.63,0
 01/09  04:00:00,9761104.792,10480708.37,0
 01/09  05:00:00,9761104.792,10134333.18,0
 01/09  06:00:00,9761104.792,766271657,0
 01/09  07:00:00,14346905.25,662812131.8,2.44E-04
 01/09  08:00:00,491776279,669864050.3,4.80E-02
 01/09  09:00:00,456453195.4,570823592.6,6.68E-02
 01/09  10:00:00,325774883.2,541882329.5,0.103975347
 01/09  11:00:00,278583012.5,468925226,0.103975347
 01/09  12:00:00,265840782.7,412088712.7,0.134665347
 01/09  13:00:00,262222396.6,369432947.2,0.208148997
 01/09  14:00:00,264974826.1,320217266.4,0.208148997
 01/09  15:00:00,284516994.5,278779156,0.195800939
 01/09  16:00:00,366286387.1,216287350.4,0.103242122
 01/09  17:00:00,499076725.7,118158672.8,7.46E-02
 01/09  18:00:00,485817047.8,89965650.32,3.72E-02
 01/09  19:00:00,482700801.2,75906999.54,1.86E-02
 01/09  20:00:00,168554793.2,0,0
 01/09  21:00:00,12964410.58,0,0
 01/09  22:00:00,12964410.58,0,0
 01/09  23:00:00,12167826.12,0,0
 01/09  24:00:00,10574657.19,0,0
 01/10  01:00:00,9761104.792,0,0
 01/10  02:00:00,9761104.792,0,0
 01/10  03:00:00,9761104.792,0,0
 01/10  04:00:00,9761104.792,0,0
 01/10  05:00:00,9761104.792,0,0
 01/10  06:00:00,9761104.792,465950234.7,0
 01/10  07:00:00,14346905.25,358573877.7,2.44E-04
 01/10  08:00:00,491776279,203246755.3,4.80E-02
 01/10  09:00:00,454944838.6,173987555.4,6.68E-02
 01/10  10:00:00,317853028.1,214263811.1,0.103975347
