Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/08  02:00:00,10172196.09,85543035.73,0
 01/08  03:00:00,10172196.09,82871150.88,0
 01/08  04:00:00,10172196.09,79300540.26,0
 01/08  05:00:00,10172196.09,78686875.32,0
 01/08  06:00:00,10172196.09,75511229.13,0
 01/08  07:00:00,10172196.09,82596340.28,0
 01/08  08:00:00,10189302.1,86410254.89,0
 01/08  09:00:00,10189302.1,83603775.79,0
 01/08  10:00:00,10189302.1,76655767.66,0
 01/08  11:00:00,10189302.1,67252659.48,0
 01/08  12:00:00,10189302.1,56708732.05,0
 01/08  13:00:00,10189302.1,48346134.17,0
 01/08  14:00:00,10189302.1,44087417.27,0
 01/08  15:00:00,10189302.1,45883249.68,0
 01/08  16:00:00,10189302.1,51619434.42,0
 01/08  17:00:00,10189302.1,49094271.23,0
 01/08  18:00:00,10189302.1,35410594.72,0
 01/08  19:00:00,10189302.1,31279470.01,0
 01/08  20:00:00,10189302.1,29044596.61,0
 01/08  21:00:00,10189302.1,26190894.04,0
 01/08  22:00:00,10189302.1,23614166.22,0
 01/08  23:00:00,10189302.1,21577764.31,0
 01/08  24:00:00,10189302.1,19490841.81,0
 01/09  01:00:00,10172196.09,18504350.37,0
 01/09  02:00:00,10172196.09,16674370.1,0
 01/09  03:00:00,10172196.09,15366576.84,0
 01/09  04:00:00,10172196.09,13876684.12,0
 01/09  05:00:00,10172196.09,13745516.4,0
 01/09  06:00:00,10172196.09,847562410.4,0
 01/09  07:00:00,14769099.7,738836368.7,2.68E-04
 01/09  08:00:00,501746864.7,755651109.5,5.70E-02
 01/09  09:00:00,465896515.9,634982186.8,7.81E-02
 01/09  10:00:00,332940392,564274017.2,0.1199618
 01/09  11:00:00,284326976.3,478363266.5,0.1199618
 01/09  12:00:00,272118630,412983035.3,0.1506833
 01/09  13:00:00,269156061,375298503.4,0.221939609
 01/09  14:00:00,271720873.3,320646480.2,0.221939609
 01/09  15:00:00,290451285.7,259419354.7,0.2118585
 01/09  16:00:00,374110451.4,192438395.7,0.119158399
 01/09  17:00:00,509602367.1,88813504.4,8.39E-02
 01/09  18:00:00,495689784.5,84613242.7,4.18E-02
 01/09  19:00:00,492570440.1,83534018.78,2.09E-02
 01/09  20:00:00,175777015.5,0,0
 01/09  21:00:00,13294952.55,0,0
 01/09  22:00:00,13294952.55,0,0
 01/09  23:00:00,12518539.94,0,0
 01/09  24:00:00,10965714.72,0,0
 01/10  01:00:00,10172196.09,0,0
 01/10  02:00:00,10172196.09,0,0
 01/10  03:00:00,10172196.09,0,0
 01/10  04:00:00,10172196.09,0,0
 01/10  05:00:00,10172196.09,30779.79561,0
 01/10  06:00:00,10172196.09,538126467.6,0
 01/10  07:00:00,14769099.7,416498700.8,2.68E-04
 01/10  08:00:00,501746864.7,249732985,5.70E-02
 01/10  09:00:00,464369303.2,195246091.9,7.81E-02
 01/10  10:00:00,324365415,202437309.4,0.1199618
 01/10  11:00:00,280804383.2,156177436.4,0.1199618
 01/10  12:00:00,265048141.8,102072486.4,0.1506833
 01/10  13:00:00,262075737.4,92193474.48,0.221939609
 01/10  14:00:00,264021318.3,82894630.11,0.221939609
 01/10  15:00:00,270929833.7,77091907.06,0.2118585
 01/10  16:00:00,345082891.6,50714518.78,0.119158399
 01/10  17:00:00,509602367.1,27997460.02,8.39E-02
 01/10  18:00:00,495689784.5,19990023.53,4.18E-02
 01/10  19:00:00,492570440.1,15766685.73,2.09E-02
 01/10  20:00:00,175777015.5,0,0
 01/10  21:00:00,13294952.55,0,0
 01/10  22:00:00,13294952.55,0,0
 01/10  23:00:00,12518539.94,0,0
 01/10  24:00:00,10965714.72,0,0
 01/11  01:00:00,10172196.09,0,0
 01/11  02:00:00,10172196.09,0,0
 01/11  03:00:00,10172196.09,0,0
 01/11  04:00:00,10172196.09,0,0
 01/11  05:00:00,10172196.09,0,0
 01/11  06:00:00,10172196.09,464908812.1,0
 01/11  07:00:00,14769099.7,351253498.6,2.68E-04
 01/11  08:00:00,501746864.7,183092111.8,5.70E-02
 01/11  09:00:00,464258164.2,133677121.2,7.81E-02
 01/11  10:00:00,324080481.7,158808330.7,0.1199618
 01/11  11:00:00,283273421.1,143354651.6,0.1199618
 01/11  12:00:00,271467438.8,144023788.2,0.1506833
 01/11  13:00:00,270225906.5,149408480,0.221939609
 01/11  14:00:00,281422897.9,149181683.6,0.221939609
 01/11  15:00:00,320540830,145009653.9,0.2118585
 01/11  16:00:00,423721228.8,103298798.7,0.119158399
 01/11  17:00:00,509602367.1,57481039.63,8.39E-02
 01/11  18:00:00,495689784.5,50168019.43,4.18E-02
 01/11  19:00:00,492570440.1,61397972.04,2.09E-02
 01/11  20:00:00,175777015.5,0,0
 01/11  21:00:00,13294952.55,0,0
 01/11  22:00:00,13294952.55,0,0
 01/11  23:00:00,12518539.94,0,0
 01/11  24:00:00,10965714.72,0,0
 01/12  01:00:00,10172196.09,0,0
 01/12  02:00:00,10172196.09,0,0
 01/12  03:00:00,10172196.09,0,0
 01/12  04:00:00,10172196.09,0,0
 01/12  05:00:00,10172196.09,208110.8671,0
 01/12  06:00:00,10172196.09,624392647.1,0
 01/12  07:00:00,14769099.7,480622145.1,2.68E-04
 01/12  08:00:00,501746864.7,340027765.6,5.70E-02
 01/12  09:00:00,479047824.5,260619065.7,7.81E-02
 01/12  10:00:00,365716209.9,286407763.7,0.1199618
 01/12  11:00:00,289333876.8,281830050.8,0.1199618
 01/12  12:00:00,271533513.2,265777287.5,0.1506833
 01/12  13:00:00,268408608.5,255036084.6,0.221939609
 01/12  14:00:00,269403707.9,224434330.6,0.221939609
 01/12  15:00:00,285853434.3,210720793.7,0.2118585
 01/12  16:00:00,363166299,180355693.5,0.119158399
 01/12  17:00:00,509602367.1,104196569.1,8.39E-02
 01/12  18:00:00,495689784.5,103702249.7,4.18E-02
 01/12  19:00:00,492570440.1,105177425.1,2.09E-02
 01/12  20:00:00,175777015.5,0,0
 01/12  21:00:00,13294952.55,0,0
 01/12  22:00:00,13294952.55,0,0
 01/12  23:00:00,12518539.94,0,0
 01/12  24:00:00,10965714.72,0,0
 01/13  01:00:00,10172196.09,655345.9484,0
 01/13  02:00:00,10172196.09,1381707.85,0
 01/13  03:00:00,10172196.09,1988369.28,0
 01/13  04:00:00,10172196.09,3010033.922,0
 01/13  05:00:00,10172196.09,4021409.306,0
 01/13  06:00:00,10172196.09,726557435.1,0
 01/13  07:00:00,14769099.7,575019797,2.68E-04
 01/13  08:00:00,501746864.7,516944030.2,5.70E-02
 01/13  09:00:00,478951735.6,443054289.5,7.81E-02
 01/13  10:00:00,371256864.2,449242208.7,0.1199618
 01/13  11:00:00,308551120.8,450117347.3,0.1199618
 01/13  12:00:00,292780387.6,441559968.6,0.1506833
 01/13  13:00:00,287228018.4,445885047.8,0.221939609
 01/13  14:00:00,294358785.5,436079290.7,0.221939609
 01/13  15:00:00,317403491.9,416983892.6,0.2118585
 01/13  16:00:00,413710428.7,347034861.2,0.119158399
