Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly) 
 01/04  24:00:00,10182989.8261872,10831039.4143124,0.0 
 01/05  01:00:00,9478623.9918672,11883644.7081686,0.0 
 01/05  02:00:00,9478623.9918672,14520918.2493653,0.0 
 01/05  03:00:00,9478623.9918672,18728958.3698893,0.0 
 01/05  04:00:00,9478623.9918672,23080434.5593073,0.0 
 01/05  05:00:00,9478623.9918672,29882159.8820518,0.0 
 01/05  06:00:00,9478623.9918672,926526252.61642,0.0 
 01/05  07:00:00,14017756.3489872,843765733.828433,2.444085151515151E-004 
 01/05  08:00:00,479136334.098694,908985216.023337,4.325677287878787E-002 
 01/05  09:00:00,441733407.781174,799137234.052055,5.853638650505051E-002 
 01/05  10:00:00,303330032.042407,779761697.684055,8.860679672727272E-002 
 01/05  11:00:00,259557367.715752,711120020.811342,8.860679672727272E-002 
 01/05  12:00:00,250693781.437037,648521971.511215,0.109565663393939 
 01/05  13:00:00,250671644.222512,590174119.256593,0.157407058282828 
 01/05  14:00:00,279102691.078319,586232745.612618,0.157407058282828 
 01/05  15:00:00,305493866.845688,573261793.776902,0.151238988212121 
 01/05  16:00:00,414573262.946856,504213978.273441,8.787357118181820E-002 
 01/05  17:00:00,487200577.68864,333997728.581304,6.038522895959597E-002 
 01/05  18:00:00,473470003.44288,318984860.555957,3.007041022222222E-002 
 01/05  19:00:00,470351466.855814,313788700.232839,1.503520511111111E-002 
 01/05  20:00:00,163453733.055814,342428.075912999,0.0 
 01/05  21:00:00,12249030.8975472,7499475.05080383,0.0 
 01/05  22:00:00,12249030.8975472,9819004.63865614,0.0 
 01/05  23:00:00,11560350.5404272,11055731.0734671,0.0 
 01/05  24:00:00,10182989.8261872,12015845.3218962,0.0 
 01/06  01:00:00,9478623.9918672,15428310.3947096,0.0 
 01/06  02:00:00,9478623.9918672,21236252.223641,0.0 
 01/06  03:00:00,9478623.9918672,27589012.1965322,0.0 
 01/06  04:00:00,9478623.9918672,36776565.3641792,0.0 
 01/06  05:00:00,9478623.9918672,52812532.868029,0.0 
 01/06  06:00:00,9478623.9918672,937349530.980774,0.0 
 01/06  07:00:00,14017756.3489872,857589382.043541,2.444085151515151E-004 
 01/06  08:00:00,479136334.098694,919063853.270549,4.325677287878787E-002 
 01/06  09:00:00,459481246.582034,774860622.371025,5.853638650505051E-002 
 01/06  10:00:00,355487090.709865,705472052.907468,8.860679672727272E-002 
 01/06  11:00:00,292556955.582889,646212881.714996,8.860679672727272E-002 
 01/06  12:00:00,265758794.398655,577419502.730941,0.109565663393939 
 01/06  13:00:00,246051698.327966,473028664.29813,0.157407058282828 
 01/06  14:00:00,245385000.141988,373475495.694292,0.157407058282828 
 01/06  15:00:00,249496629.201078,338543863.106241,0.151238988212121 
 01/06  16:00:00,299189147.846397,309747545.868885,8.787357118181820E-002 
 01/06  17:00:00,487200577.68864,182324187.003019,6.038522895959597E-002 
 01/06  18:00:00,473470003.44288,189995653.02602,3.007041022222222E-002 
 01/06  19:00:00,470351466.855814,186040601.009389,1.503520511111111E-002 
 01/06  20:00:00,163453733.055814,0.0,0.0 
 01/06  21:00:00,12249030.8975472,0.0,0.0 
 01/06  22:00:00,12249030.8975472,1382549.33241969,0.0 
 01/06  23:00:00,11560350.5404272,2483827.78137107,0.0 
 01/06  24:00:00,10182989.8261872,3215962.73449268,0.0 
 01/07  01:00:00,9478623.9918672,3950450.80652113,0.0 
 01/07  02:00:00,9478623.9918672,4637777.1801189,0.0 
 01/07  03:00:00,9478623.9918672,5460233.76330009,0.0 
 01/07  04:00:00,9478623.9918672,5861525.03198176,0.0 
 01/07  05:00:00,9478623.9918672,6440281.12978973,0.0 
 01/07  06:00:00,9478623.9918672,7068372.95726006,0.0 
 01/07  07:00:00,9478623.9918672,8061917.91736437,0.0 
 01/07  08:00:00,9494309.4690672,9251024.81338427,0.0 
 01/07  09:00:00,10387684.0290672,10810428.2050715,0.0 
 01/07  10:00:00,10387684.0290672,9271381.7913974,0.0 
 01/07  11:00:00,10387684.0290672,6845324.76288746,0.0 
 01/07  12:00:00,10387684.0290672,6647102.9961438,0.0 
 01/07  13:00:00,10387684.0290672,6097491.19468541,0.0 
 01/07  14:00:00,10387684.0290672,7793788.70199965,0.0 
 01/07  15:00:00,10387684.0290672,10693147.2454357,0.0 
 01/07  16:00:00,10387684.0290672,14108502.5436095,0.0 
 01/07  17:00:00,10387684.0290672,16910710.6786228,0.0 
 01/07  18:00:00,10387684.0290672,20976559.294471,0.0 
 01/07  19:00:00,9494309.4690672,26040248.0743276,0.0 
 01/07  20:00:00,9494309.4690672,36941382.7994791,0.0 
 01/07  21:00:00,9494309.4690672,43685456.5669361,0.0 
 01/07  22:00:00,9494309.4690672,52907965.6830491,0.0 
 01/07  23:00:00,9494309.4690672,62813269.7178586,0.0 
 01/07  24:00:00,9494309.4690672,75452239.8591755,0.0 
 01/08  01:00:00,9478623.9918672,82883711.625173,0.0 
 01/08  02:00:00,9478623.9918672,86499263.3666473,0.0 
 01/08  03:00:00,9478623.9918672,83769674.4650992,0.0 
 01/08  04:00:00,9478623.9918672,80161745.5001658,0.0 
 01/08  05:00:00,9478623.9918672,79519923.8990895,0.0 
 01/08  06:00:00,9478623.9918672,76311460.2925906,0.0 
 01/08  07:00:00,9478623.9918672,83416950.7368108,0.0 
 01/08  08:00:00,9494309.4690672,87229188.8429278,0.0 
 01/08  09:00:00,9494309.4690672,84402621.1509503,0.0 
 01/08  10:00:00,9494309.4690672,77427787.8973303,0.0 
 01/08  11:00:00,9494309.4690672,68005968.9887475,0.0 
 01/08  12:00:00,9494309.4690672,57412623.0284402,0.0 
 01/08  13:00:00,9494309.4690672,49001191.1342802,0.0 
 01/08  14:00:00,9494309.4690672,44726674.1148687,0.0 
 01/08  15:00:00,9494309.4690672,46516828.1934907,0.0 
 01/08  16:00:00,9494309.4690672,52241632.8875359,0.0 
 01/08  17:00:00,9494309.4690672,49706671.1678648,0.0 
 01/08  18:00:00,9494309.4690672,35759751.5451927,0.0 
 01/08  19:00:00,9494309.4690672,31432146.4484945,0.0 
 01/08  20:00:00,9494309.4690672,29191052.7634456,0.0 
 01/08  21:00:00,9494309.4690672,26331360.5094896,0.0 
 01/08  22:00:00,9494309.4690672,23735188.721902,0.0 
 01/08  23:00:00,9494309.4690672,21686242.8071542,0.0 
 01/08  24:00:00,9494309.4690672,19597191.3172976,0.0 
 01/09  01:00:00,9478623.9918672,18651193.9165861,0.0 
 01/09  02:00:00,9478623.9918672,16788630.378444,0.0 
 01/09  03:00:00,9478623.9918672,15468461.7393555,0.0 
 01/09  04:00:00,9478623.9918672,13975196.0714407,0.0 
 01/09  05:00:00,9478623.9918672,13842650.0645721,0.0 
 01/09  06:00:00,9478623.9918672,848293229.466401,0.0 
 01/09  07:00:00,14017756.3489872,739689859.253686,2.444085151515151E-004 
 01/09  08:00:00,479136334.098694,767907573.178743,4.325677287878786E-002 
 01/09  09:00:00,440018227.955513,648975947.805099,5.853638650505051E-002 
 01/09  10:00:00,304480943.109239,578548228.548444,8.860679672727272E-002 
 01/09  11:00:00,264008368.124421,488429604.571766,8.860679672727272E-002 
 01/09  12:00:00,254721894.195556,419131848.942807,0.109565663393939 
 01/09  13:00:00,251941256.188079,375729506.003955,0.157407058282828 
 01/09  14:00:00,253915342.22901,321018075.794777,0.157407058282828 
 01/09  15:00:00,269981446.411284,261043107.46488,0.151238988212121 
 01/09  16:00:00,348509570.00128,202219019.449839,8.787357118181820E-002 
 01/09  17:00:00,487200577.68864,96723655.5638072,6.038522895959597E-002 
 01/09  18:00:00,473470003.44288,95285608.0541425,3.007041022222222E-002 
 01/09  19:00:00,470351466.855814,95705859.0918189,1.503520511111111E-002 
 01/09  20:00:00,163453733.055814,0.0,0.0 
 01/09  21:00:00,12249030.8975472,0.0,0.0 
 01/09  22:00:00,12249030.8975472,0.0,0.0 
 01/09  23:00:00,11560350.5404272,0.0,0.0 
 01/09  24:00:00,10182989.8261872,0.0,0.0 
 01/10  01:00:00,9478623.9918672,0.0,0.0 
 01/10  02:00:00,9478623.9918672,0.0,0.0 
 01/10  03:00:00,9478623.9918672,0.0,0.0 
 01/10  04:00:00,9478623.9918672,0.0,0.0 
 01/10  05:00:00,9478623.9918672,51273.5306367152,0.0 
 01/10  06:00:00,9478623.9918672,540985149.134699,0.0 
 01/10  07:00:00,14017756.3489872,418926321.445948,2.444085151515151E-004 
 01/10  08:00:00,479136334.098694,263264063.275635,4.325677287878787E-002 
 01/10  09:00:00,438363523.690828,209389675.81404,5.853638650505051E-002 
 01/10  10:00:00,302995730.337258,210267191.788419,8.860679672727272E-002 
 01/10  11:00:00,261176088.049689,161957791.212105,8.860679672727272E-002 
 01/10  12:00:00,249012182.515178,102984490.852037,0.109565663393939 
 01/10  13:00:00,245913354.929968,86311871.3601044,0.157407058282828 
 01/10  14:00:00,247520937.081176,75987300.0405345,0.157407058282828 
 01/10  15:00:00,253745317.438076,70623671.0887067,0.151238988212121 
 01/10  16:00:00,319083455.941296,51627574.1255585,8.787357118181820E-002 
 01/10  17:00:00,487200577.68864,23033951.6244239,6.038522895959597E-002 
 01/10  18:00:00,473470003.44288,17755006.9959052,3.007041022222222E-002 
 01/10  19:00:00,470351466.855814,15264831.8407392,1.503520511111111E-002 
 01/10  20:00:00,163453733.055814,0.0,0.0 
 01/10  21:00:00,12249030.8975472,0.0,0.0 
 01/10  22:00:00,12249030.8975472,0.0,0.0 
 01/10  23:00:00,11560350.5404272,0.0,0.0 
 01/10  24:00:00,10182989.8261872,0.0,0.0 
 01/11  01:00:00,9478623.9918672,0.0,0.0 
 01/11  02:00:00,9478623.9918672,0.0,0.0 
 01/11  03:00:00,9478623.9918672,0.0,0.0 
 01/11  04:00:00,9478623.9918672,0.0,0.0 
 01/11  05:00:00,9478623.9918672,0.0,0.0 
 01/11  06:00:00,9478623.9918672,467837745.576797,0.0 
 01/11  07:00:00,14017756.3489872,353841114.508304,2.444085151515151E-004 
 01/11  08:00:00,479136334.098694,197286309.466358,4.325677287878787E-002 
 01/11  09:00:00,438246559.643433,146611726.632204,5.853638650505051E-002 
 01/11  10:00:00,302718700.275843,165627381.404338,8.860679672727272E-002 
 01/11  11:00:00,262976273.116702,149084759.638517,8.860679672727272E-002 
 01/11  12:00:00,254243665.209816,146545157.844086,0.109565663393939 
 01/11  13:00:00,252894712.435802,146339197.72099,0.157407058282828 
 01/11  14:00:00,262022791.641202,145323405.344172,0.157407058282828 
 01/11  15:00:00,299511340.055555,141672949.533918,0.151238988212121 
 01/11  16:00:00,394853081.554186,112407880.916404,8.787357118181820E-002 
 01/11  17:00:00,487200577.68864,60457744.5265428,6.038522895959596E-002 
 01/11  18:00:00,473470003.44288,57950356.0552704,3.007041022222222E-002 
 01/11  19:00:00,470351466.855814,74688708.8274128,1.503520511111111E-002 
 01/11  20:00:00,163453733.055814,0.0,0.0 
 01/11  21:00:00,12249030.8975472,0.0,0.0 
 01/11  22:00:00,12249030.8975472,0.0,0.0 
 01/11  23:00:00,11560350.5404272,0.0,0.0 
 01/11  24:00:00,10182989.8261872,0.0,0.0 
 01/12  01:00:00,9478623.9918672,0.0,0.0 
 01/12  02:00:00,9478623.9918672,0.0,0.0 
 01/12  03:00:00,9478623.9918672,0.0,0.0 
 01/12  04:00:00,9478623.9918672,0.0,0.0 
 01/12  05:00:00,9478623.9918672,273505.09236032,0.0 
 01/12  06:00:00,9478623.9918672,629717585.550988,0.0 
 01/12  07:00:00,14017756.3489872,485283350.651718,2.444085151515151E-004 
 01/12  08:00:00,479136334.098694,356727201.508055,4.325677287878787E-002 
 01/12  09:00:00,454220043.700335,276882452.744692,5.853638650505051E-002 
 01/12  10:00:00,339238882.692258,300116445.504748,8.860679672727272E-002 
 01/12  11:00:00,268665152.092834,291304539.50911,8.860679672727272E-002 
 01/12  12:00:00,254249091.546233,271297092.281317,0.109565663393939 
 01/12  13:00:00,251053755.13398,254257126.46312,0.157407058282828 
 01/12  14:00:00,251919448.946362,223465059.324752,0.157407058282828 
 01/12  15:00:00,265523857.452888,211223779.82329,0.151238988212121 
 01/12  16:00:00,336970744.983251,189464248.587422,8.787357118181820E-002 
 01/12  17:00:00,487200577.68864,112140397.916431,6.038522895959597E-002 
 01/12  18:00:00,473470003.44288,114411975.046874,3.007041022222222E-002 
 01/12  19:00:00,470351466.855814,117346704.423222,1.503520511111111E-002 
 01/12  20:00:00,163453733.055814,0.0,0.0 
 01/12  21:00:00,12249030.8975472,0.0,0.0 
 01/12  22:00:00,12249030.8975472,0.0,0.0 
 01/12  23:00:00,11560350.5404272,0.0,0.0 
 01/12  24:00:00,10182989.8261872,0.0,0.0 
 01/13  01:00:00,9478623.9918672,696980.908137819,0.0 
 01/13  02:00:00,9478623.9918672,1418070.11414074,0.0 
 01/13  03:00:00,9478623.9918672,2025283.28401198,0.0 
 01/13  04:00:00,9478623.9918672,3044908.12949812,0.0 
