Date/Time,Water:Facility [m3](Monthly)
January,105.83
Febuary,109.34
March,92.61
April,106.86
May,109.71000000000001
June,118.82000000000001
July,125.57000000000001
August,129.27
September,120.58
October,145.54
November,141.9
December,91.12
