Date/Time,DistrictHeating:Facility [J](Monthly)
January,207636381728.39188
Febuary,167531833063.53085
March,157099830798.0369
April,138967490142.47763
May,68099431607.274704
June,7.237390232441906e-13
July,0.0
August,0.0
September,7669002727.430017
October,120628207092.0506
November,169633269602.90836
December,161539045594.3418
