Date/Time,Water:Facility [m3](Monthly)
January,137.65
Febuary,135.84
March,136.47
April,126.88000000000001
May,137.12
June,110.35000000000001
July,119.86
August,110.93
September,128.86
October,131.99
November,121.57000000000001
December,84.37
