Date/Time,DistrictHeating:Facility [J](Monthly)
January,220764307379.81448
Febuary,192527412868.54596
March,186297305618.57242
April,136041241558.81435
May,76604105673.2424
June,8.202181330039934e-14
July,0.0
August,0.0
September,29131703512.40419
October,116066742783.28403
November,153393920433.64453
December,152293427717.03766
