Date/Time,DistrictHeating:Facility [J](Monthly)
January,260899058502.3974
Febuary,228823864869.4089
March,202909867445.3682
April,150664666978.55737
May,70224710434.4784
June,1.1071837040604118e-12
July,0.0
August,0.0
September,49242526574.55345
October,84060869188.75546
November,130606301168.12027
December,162948978031.03784
