Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
Lights,Level0AddedPart:Zone3 General lighting,Lighting Level,2921.056,2751.634752,3183.95104,Uniform,Float,194
ElectricEquipment,Level0AddedPart:Zone3 Computing gain 1,Design Level,876.3168,777.2930016,937.658976,Uniform,Float,195
ElectricEquipment,Level0AddedPart:Zone3 Equipment 2,Design Level,876.3168,777.2930016,937.658976,Uniform,Float,196
Lights,Level1AddedPart:Zone1 General lighting,Lighting Level,2577.928,2428.408176,2809.94152,Uniform,Float,197
ElectricEquipment,Level1AddedPart:Zone1 Equipment 1,Design Level,1595.7374,1415.419074,1707.439018,Uniform,Float,198
ElectricEquipment,Level1AddedPart:Zone3 Equipment 1,Design Level,45.3516,40.2268692,48.526212,Uniform,Float,199
Lights,Level1AddedPart:Zone5 General lighting,Lighting Level,121.1295,114.103989,132.031155,Uniform,Float,200
ElectricEquipment,Level1AddedPart:Zone5 Equipment 1,Design Level,44.8179,39.7534773,47.955153,Uniform,Float,201
Lights,Level1AddedPart:Zone13 General lighting,Lighting Level,3298.712,3107.386704,3595.59608,Uniform,Float,202
ElectricEquipment,Level1AddedPart:Zone13 Computing gain 1,Design Level,989.6136,877.7872632,1058.886552,Uniform,Float,203
ElectricEquipment,Level1AddedPart:Zone13 Equipment 2,Design Level,989.6136,877.7872632,1058.886552,Uniform,Float,204
