Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
WaterUse:Equipment,DHW Level0:Zone7,Peak Flow Rate,8.560000000000001e-08,5.837920000000001e-08,1.25404e-07,Uniform,Float,45
WaterUse:Equipment,DHW Level0:Zone32,Peak Flow Rate,9.14e-06,6.233480000000001e-06,1.33901e-05,Uniform,Float,46
WaterUse:Equipment,DHW Level0:Zone1,Peak Flow Rate,2.8499999999999997e-07,1.9437e-07,4.175250000000001e-07,Uniform,Float,47
WaterUse:Equipment,DHW Level0:Zone27,Peak Flow Rate,5.6600000000000004e-08,3.86012e-08,8.2919e-08,Uniform,Float,48
WaterUse:Equipment,DHW Level0:Zone20,Peak Flow Rate,2.2699999999999998e-07,1.54814e-07,3.325550000000001e-07,Uniform,Float,49
WaterUse:Equipment,DHW Level0:Zone21,Peak Flow Rate,2.59e-07,1.766379999999999e-07,3.79435e-07,Uniform,Float,50
WaterUse:Equipment,DHW Level0:Zone45,Peak Flow Rate,8.32e-08,5.67424e-08,1.2188799999999999e-07,Uniform,Float,51
WaterUse:Equipment,DHW Level0:Zone30,Peak Flow Rate,2.16e-07,1.47312e-07,3.1644e-07,Uniform,Float,52
WaterUse:Equipment,DHW Level0:Zone23,Peak Flow Rate,1.82e-07,1.241239999999999e-07,2.6663e-07,Uniform,Float,53
WaterUse:Equipment,DHW Level0:Zone4,Peak Flow Rate,2.77e-07,1.88914e-07,4.0580499999999997e-07,Uniform,Float,54
WaterUse:Equipment,DHW Level0:Zone25,Peak Flow Rate,1.57e-07,1.07074e-07,2.30005e-07,Uniform,Float,55
WaterUse:Equipment,DHW Level0:Zone38,Peak Flow Rate,2.58e-07,1.75956e-07,3.7797e-07,Uniform,Float,56
WaterUse:Equipment,DHW Level0:Zone26,Peak Flow Rate,9.28e-08,6.328960000000001e-08,1.35952e-07,Uniform,Float,57
WaterUse:Equipment,DHW Level0:Zone24,Peak Flow Rate,9.25e-08,6.308500000000001e-08,1.355125e-07,Uniform,Float,58
WaterUse:Equipment,DHW Level0:Zone22,Peak Flow Rate,1.7199999999999998e-07,1.17304e-07,2.5198e-07,Uniform,Float,59
WaterUse:Equipment,DHW Level0:Zone29,Peak Flow Rate,1.44e-07,9.8208e-08,2.1095999999999998e-07,Uniform,Float,60
WaterUse:Equipment,DHW Level0:Zone31,Peak Flow Rate,1.1499999999999998e-07,7.843e-08,1.68475e-07,Uniform,Float,61
WaterUse:Equipment,DHW Level0:Zone9,Peak Flow Rate,2.64e-07,1.800479999999999e-07,3.8675999999999995e-07,Uniform,Float,62
WaterUse:Equipment,DHW Level0AddedPart:Zone2,Peak Flow Rate,1.51e-07,1.0298199999999999e-07,2.2121499999999999e-07,Uniform,Float,63
WaterUse:Equipment,DHW Level0AddedPart:Zone3,Peak Flow Rate,9.019999999999999e-07,6.15164e-07,1.32143e-06,Uniform,Float,64
WaterUse:Equipment,DHW Level1AddedPart:Zone1,Peak Flow Rate,2.39e-07,1.6299800000000001e-07,3.50135e-07,Uniform,Float,65
WaterUse:Equipment,DHW Level1AddedPart:Zone13,Peak Flow Rate,1.02e-06,6.9564e-07,1.4942999999999998e-06,Uniform,Float,66
