# ID,Name,Parameter Type,Description,Search String,Value Type,Value String,Selected Value Index
P27,Site:GroundTemperature:Shallow April Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow April Surface Ground Temperature,@@tag27@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P28,Site:GroundTemperature:Shallow May Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow May Surface Ground Temperature,@@tag28@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P29,Site:GroundTemperature:Shallow June Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow June Surface Ground Temperature,@@tag29@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P30,Site:GroundTemperature:Shallow July Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow July Surface Ground Temperature,@@tag30@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P31,Site:GroundTemperature:Shallow August Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow August Surface Ground Temperature,@@tag31@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P32,Site:GroundTemperature:Shallow September Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow September Surface Ground Temperature,@@tag32@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P33,Site:GroundTemperature:Shallow October Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow October Surface Ground Temperature,@@tag33@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P34,Site:GroundTemperature:Shallow November Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow November Surface Ground Temperature,@@tag34@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P35,Site:GroundTemperature:Shallow December Surface Ground Temperature,PARAMETRICS,Site:GroundTemperature:Shallow - Site:GroundTemperature:Shallow December Surface Ground Temperature,@@tag35@@,DOUBLE,"{14.0, 12.0, 16.0}",0
P36,Site:GroundTemperature:FCfactorMethod January Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod January Ground Temperature,@@tag36@@,DOUBLE,"{5.34, 3.34, 7.34}",0
P37,Site:GroundTemperature:FCfactorMethod February Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod February Ground Temperature,@@tag37@@,DOUBLE,"{4.9, 2.9000000000000004, 6.9}",0
P38,Site:GroundTemperature:FCfactorMethod March Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod March Ground Temperature,@@tag38@@,DOUBLE,"{5.68, 3.68, 7.68}",0
P39,Site:GroundTemperature:FCfactorMethod April Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod April Ground Temperature,@@tag39@@,DOUBLE,"{6.89, 4.89, 8.89}",0
P40,Site:GroundTemperature:FCfactorMethod May Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod May Ground Temperature,@@tag40@@,DOUBLE,"{10.07, 8.07, 12.07}",0
P41,Site:GroundTemperature:FCfactorMethod June Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod June Ground Temperature,@@tag41@@,DOUBLE,"{12.52, 10.52, 14.52}",0
P42,Site:GroundTemperature:FCfactorMethod July Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod July Ground Temperature,@@tag42@@,DOUBLE,"{14.17, 12.17, 16.17}",0
P43,Site:GroundTemperature:FCfactorMethod August Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod August Ground Temperature,@@tag43@@,DOUBLE,"{14.68, 12.68, 16.68}",0
P44,Site:GroundTemperature:FCfactorMethod September Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod September Ground Temperature,@@tag44@@,DOUBLE,"{13.82, 11.82, 15.82}",0
P45,Site:GroundTemperature:FCfactorMethod October Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod October Ground Temperature,@@tag45@@,DOUBLE,"{11.92, 9.92, 13.92}",0
P46,Site:GroundTemperature:FCfactorMethod November Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod November Ground Temperature,@@tag46@@,DOUBLE,"{9.37, 7.369999999999999, 11.37}",0
P47,Site:GroundTemperature:FCfactorMethod December Ground Temperature,PARAMETRICS,Site:GroundTemperature:FCfactorMethod - Site:GroundTemperature:FCfactorMethod December Ground Temperature,@@tag47@@,DOUBLE,"{7.01, 5.01, 9.01}",0
P48,Site:GroundReflectance January Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance January Ground Reflectance,@@tag48@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P49,Site:GroundReflectance February Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance February Ground Reflectance,@@tag49@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P50,Site:GroundReflectance March Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance March Ground Reflectance,@@tag50@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P51,Site:GroundReflectance April Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance April Ground Reflectance,@@tag51@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P52,Site:GroundReflectance May Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance May Ground Reflectance,@@tag52@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P53,Site:GroundReflectance June Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance June Ground Reflectance,@@tag53@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P54,Site:GroundReflectance July Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance July Ground Reflectance,@@tag54@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P55,Site:GroundReflectance August Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance August Ground Reflectance,@@tag55@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P56,Site:GroundReflectance September Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance September Ground Reflectance,@@tag56@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P57,Site:GroundReflectance October Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance October Ground Reflectance,@@tag57@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P58,Site:GroundReflectance November Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance November Ground Reflectance,@@tag58@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P59,Site:GroundReflectance December Ground Reflectance,PARAMETRICS,Site:GroundReflectance - Site:GroundReflectance December Ground Reflectance,@@tag59@@,DOUBLE,"{0.2, 0.13, 0.26}",0
P60,LinearBridgingLayer Thermal Resistance,PARAMETRICS,Material:NoMass - LinearBridgingLayer Thermal Resistance,@@tag60@@,DOUBLE,"{0.6267, 0.595365, 0.658035}",0
P61,LinearBridgingLayer Thermal Absorptance,PARAMETRICS,Material:NoMass - LinearBridgingLayer Thermal Absorptance,@@tag61@@,DOUBLE,"{0.01, 0.0095, 0.0105}",0
P62,LinearBridgingLayer Solar Absorptance,PARAMETRICS,Material:NoMass - LinearBridgingLayer Solar Absorptance,@@tag62@@,DOUBLE,"{0.01, 0.0095, 0.0105}",0
P63,LinearBridgingLayer Visible Absorptance,PARAMETRICS,Material:NoMass - LinearBridgingLayer Visible Absorptance,@@tag63@@,DOUBLE,"{0.01, 0.0095, 0.0105}",0
P64,2 Solar Transmittance at Normal Incidence,PARAMETRICS,WindowMaterial:Glazing - 2 Solar Transmittance at Normal Incidence,@@tag64@@,DOUBLE,"{0.837, 0.7057583999999999, 0.925}",0
P65,2 Front Side Solar Reflectance at Normal Incidence,PARAMETRICS,WindowMaterial:Glazing - 2 Front Side Solar Reflectance at Normal Incidence,@@tag65@@,DOUBLE,"{0.075, 0.0632399999999999, 0.08676}",0
P66,2 Back Side Solar Reflectance at Normal Incidence,PARAMETRICS,WindowMaterial:Glazing - 2 Back Side Solar Reflectance at Normal Incidence,@@tag66@@,DOUBLE,"{0.075, 0.0632399999999999, 0.08676}",0
P67,2 Visible Transmittance at Normal Incidence,PARAMETRICS,WindowMaterial:Glazing - 2 Visible Transmittance at Normal Incidence,@@tag67@@,DOUBLE,"{0.898, 0.7571936, 0.919}",0
P68,2 Front Side Visible Reflectance at Normal Incidence,PARAMETRICS,WindowMaterial:Glazing - 2 Front Side Visible Reflectance at Normal Incidence,@@tag68@@,DOUBLE,"{0.081, 0.0682992, 0.0937008}",0
P69,2 Back Side Visible Reflectance at Normal Incidence,PARAMETRICS,WindowMaterial:Glazing - 2 Back Side Visible Reflectance at Normal Incidence,@@tag69@@,DOUBLE,"{0.081, 0.0682992, 0.0937008}",0
P70,2 Front Side Infrared Hemispherical Emissivity,PARAMETRICS,WindowMaterial:Glazing - 2 Front Side Infrared Hemispherical Emissivity,@@tag70@@,DOUBLE,"{0.84, 0.708288, 0.971712}",0
P71,2 Back Side Infrared Hemispherical Emissivity,PARAMETRICS,WindowMaterial:Glazing - 2 Back Side Infrared Hemispherical Emissivity,@@tag71@@,DOUBLE,"{0.84, 0.708288, 0.971712}",0
P72,2 Conductivity,PARAMETRICS,WindowMaterial:Glazing - 2 Conductivity,@@tag72@@,DOUBLE,"{0.9, 0.2139650008928116, 1.5860349991071885}",0
P73,Floor/Roof Screed_0.05 Conductivity,PARAMETRICS,Material - Floor/Roof Screed_0.05 Conductivity,@@tag73@@,DOUBLE,"{0.41, 0.1736990558630795, 0.6463009441369204}",0
P74,Floor/Roof Screed_0.05 Density,PARAMETRICS,Material - Floor/Roof Screed_0.05 Density,@@tag74@@,DOUBLE,"{1200.0, 929.7437882305017, 1470.2562117694983}",0
P75,Floor/Roof Screed_0.05 Specific Heat,PARAMETRICS,Material - Floor/Roof Screed_0.05 Specific Heat,@@tag75@@,DOUBLE,"{840.0, 753.379419304648, 926.620580695352}",0
P76,Floor/Roof Screed_0.05 Thermal Absorptance,PARAMETRICS,Material - Floor/Roof Screed_0.05 Thermal Absorptance,@@tag76@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P77,Floor/Roof Screed_0.05 Solar Absorptance,PARAMETRICS,Material - Floor/Roof Screed_0.05 Solar Absorptance,@@tag77@@,DOUBLE,"{0.73, 0.632, 0.828}",0
P78,Floor/Roof Screed_0.05 Visible Absorptance,PARAMETRICS,Material - Floor/Roof Screed_0.05 Visible Absorptance,@@tag78@@,DOUBLE,"{0.73, 0.632, 0.828}",0
P79,Cast Concrete_0.15 Conductivity,PARAMETRICS,Material - Cast Concrete_0.15 Conductivity,@@tag79@@,DOUBLE,"{1.13, 0.9728503897554944, 1.2871496102445057}",0
P80,Cast Concrete_0.15 Density,PARAMETRICS,Material - Cast Concrete_0.15 Density,@@tag80@@,DOUBLE,"{2000.0, 1921.9490269118955, 2078.0509730881045}",0
P81,Cast Concrete_0.15 Specific Heat,PARAMETRICS,Material - Cast Concrete_0.15 Specific Heat,@@tag81@@,DOUBLE,"{1000.0, 951.8074528583516, 1048.1925471416484}",0
P82,Cast Concrete_0.15 Thermal Absorptance,PARAMETRICS,Material - Cast Concrete_0.15 Thermal Absorptance,@@tag82@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P83,Cast Concrete_0.15 Solar Absorptance,PARAMETRICS,Material - Cast Concrete_0.15 Solar Absorptance,@@tag83@@,DOUBLE,"{0.6, 0.5216, 0.6784}",0
P84,Cast Concrete_0.15 Visible Absorptance,PARAMETRICS,Material - Cast Concrete_0.15 Visible Absorptance,@@tag84@@,DOUBLE,"{0.6, 0.5216, 0.6784}",0
P85,Cast Concrete (Dense)_0.1 Conductivity,PARAMETRICS,Material - Cast Concrete (Dense)_0.1 Conductivity,@@tag85@@,DOUBLE,"{1.4, 1.2428503897554943, 1.5571496102445057}",0
P86,Cast Concrete (Dense)_0.1 Density,PARAMETRICS,Material - Cast Concrete (Dense)_0.1 Density,@@tag86@@,DOUBLE,"{2100.0, 2021.9490269118955, 2178.0509730881045}",0
P87,Cast Concrete (Dense)_0.1 Specific Heat,PARAMETRICS,Material - Cast Concrete (Dense)_0.1 Specific Heat,@@tag87@@,DOUBLE,"{840.0, 791.8074528583517, 888.1925471416483}",0
P88,Cast Concrete (Dense)_0.1 Thermal Absorptance,PARAMETRICS,Material - Cast Concrete (Dense)_0.1 Thermal Absorptance,@@tag88@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P89,Cast Concrete (Dense)_0.1 Solar Absorptance,PARAMETRICS,Material - Cast Concrete (Dense)_0.1 Solar Absorptance,@@tag89@@,DOUBLE,"{0.6, 0.5216, 0.6784}",0
