,Class,Object,Field,Default,Minimum,Maximum,Type,Group
2349,ZoneInfiltration:DesignFlowRate,Level0:Zone11 Infiltration,Design Flow Rate,0.003159,0.0031573288509802425,0.0031606711490197574,Float,G228
2355,People,People Level0:Zone13,Number of People,4.3869531,0.9475818696,7.8263243304,Float,G562
2356,People,People Level0:Zone13,Fraction Radiant,0.3,0.285,0.315,Float,G563
2357,People,People Level0:Zone13,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2358,Lights,Level0:Zone13 General lighting,Lighting Level,790.442,744.596364,861.58178,Float,G564
2359,Lights,Level0:Zone13 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2360,Lights,Level0:Zone13 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2361,Lights,Level0:Zone13 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2362,ElectricEquipment,Level0:Zone13 Equipment 1,Design Level,465.1751,412.6103137,497.737357,Float,G413
2363,ElectricEquipment,Level0:Zone13 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G414
2364,WaterUse:Equipment,DHW Level0:Zone13,Peak Flow Rate,2.44e-07,1.6640800000000002e-07,3.5746e-07,Float,G565
2377,ZoneInfiltration:DesignFlowRate,Level0:Zone13 Infiltration,Design Flow Rate,0.008838,0.008836328850980244,0.008839671149019757,Float,G228
2383,People,People Level0:Zone7,Number of People,1.5386598,0.33235051679999983,2.7449690832,Float,G532
2384,People,People Level0:Zone7,Fraction Radiant,0.3,0.285,0.315,Float,G533
2385,People,People Level0:Zone7,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2386,Lights,Level0:Zone7 General lighting,Lighting Level,277.236,261.156312,302.18724,Float,G534
2387,Lights,Level0:Zone7 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2388,Lights,Level0:Zone7 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2389,Lights,Level0:Zone7 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2390,ElectricEquipment,Level0:Zone7 Equipment 1,Design Level,163.1534,144.7170658,174.574138,Float,G431
2391,ElectricEquipment,Level0:Zone7 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G432
2392,WaterUse:Equipment,DHW Level0:Zone7,Peak Flow Rate,8.56e-08,5.83792e-08,1.25404e-07,Float,G568
2405,ZoneInfiltration:DesignFlowRate,Level0:Zone7 Infiltration,Design Flow Rate,0.0031,0.0030983288509802425,0.0031016711490197573,Float,G228
2411,People,People Level0:Zone32,Number of People,164.2705539,35.48243964239998,293.05866815760004,Float,G500
2412,People,People Level0:Zone32,Fraction Radiant,0.3,0.285,0.315,Float,G501
2413,People,People Level0:Zone32,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2414,Lights,Level0:Zone32 General lighting,Lighting Level,29598.298,27881.596716,32262.144819999998,Float,G502
2415,Lights,Level0:Zone32 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2416,Lights,Level0:Zone32 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2417,Lights,Level0:Zone32 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2418,ElectricEquipment,Level0:Zone32 Equipment 1,Design Level,17418.5984,15450.2967808,18637.900287999997,Float,G503
2419,ElectricEquipment,Level0:Zone32 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2420,WaterUse:Equipment,DHW Level0:Zone32,Peak Flow Rate,9.14e-06,6.233480000000001e-06,1.33901e-05,Float,G505
2433,ZoneInfiltration:DesignFlowRate,Level0:Zone32 Infiltration,Design Flow Rate,0.493261,0.4932593288509802,0.4932626711490198,Float,G228
2439,People,People Level0:Zone1,Number of People,5.1168669,1.1052432504,9.128490549599999,Float,G500
2440,People,People Level0:Zone1,Fraction Radiant,0.3,0.285,0.315,Float,G501
2441,People,People Level0:Zone1,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2442,Lights,Level0:Zone1 General lighting,Lighting Level,921.958,868.484436,1004.93422,Float,G502
2443,Lights,Level0:Zone1 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2444,Lights,Level0:Zone1 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
