Class,Object,Field,Default,Minimum,Maximum,Type,Group
Site:GroundTemperature:FCfactorMethod,Site:GroundTemperature:FCfactorMethod,July Ground Temperature,14.17,12.753,15.587,Float,G046
Site:GroundTemperature:FCfactorMethod,Site:GroundTemperature:FCfactorMethod,August Ground Temperature,14.68,13.212,16.148,Float,G047
Site:GroundTemperature:FCfactorMethod,Site:GroundTemperature:FCfactorMethod,September Ground Temperature,13.82,12.438,15.202,Float,G048
Site:GroundTemperature:FCfactorMethod,Site:GroundTemperature:FCfactorMethod,October Ground Temperature,11.92,10.728,13.112,Float,G049
Site:GroundTemperature:FCfactorMethod,Site:GroundTemperature:FCfactorMethod,November Ground Temperature,9.37,8.433,10.307,Float,G050
Site:GroundTemperature:FCfactorMethod,Site:GroundTemperature:FCfactorMethod,December Ground Temperature,7.01,6.309,7.711,Float,G051
Site:GroundReflectance,Site:GroundReflectance,January Ground Reflectance,0.2,0.18,0.22,Float,G052
Site:GroundReflectance,Site:GroundReflectance,February Ground Reflectance,0.2,0.18,0.22,Float,G053
Site:GroundReflectance,Site:GroundReflectance,March Ground Reflectance,0.2,0.18,0.22,Float,G054
Site:GroundReflectance,Site:GroundReflectance,April Ground Reflectance,0.2,0.18,0.22,Float,G055
Site:GroundReflectance,Site:GroundReflectance,May Ground Reflectance,0.2,0.18,0.22,Float,G056
Site:GroundReflectance,Site:GroundReflectance,June Ground Reflectance,0.2,0.18,0.22,Float,G057
Site:GroundReflectance,Site:GroundReflectance,July Ground Reflectance,0.2,0.18,0.22,Float,G058
Site:GroundReflectance,Site:GroundReflectance,August Ground Reflectance,0.2,0.18,0.22,Float,G059
Site:GroundReflectance,Site:GroundReflectance,September Ground Reflectance,0.2,0.18,0.22,Float,G060
Site:GroundReflectance,Site:GroundReflectance,October Ground Reflectance,0.2,0.18,0.22,Float,G061
Site:GroundReflectance,Site:GroundReflectance,November Ground Reflectance,0.2,0.18,0.22,Float,G062
Site:GroundReflectance,Site:GroundReflectance,December Ground Reflectance,0.2,0.18,0.22,Float,G063
ProgramControl,ProgramControl,Number of Threads Allowed,1,0.9,1.1,Integer,G064
ConvergenceLimits,ConvergenceLimits,Minimum System Timestep,1,0.9,1.1,Integer,G065
ConvergenceLimits,ConvergenceLimits,Maximum HVAC Iterations,25,22.5,27.5,Integer,G066
Schedule:Day:Hourly,50,Hour 1,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 2,50,45,55,Float,G068
Schedule:Day:Hourly,50,Hour 3,50,45,55,Float,G069
Schedule:Day:Hourly,50,Hour 4,50,45,55,Float,G070
Schedule:Day:Hourly,50,Hour 5,50,45,55,Float,G071
Schedule:Day:Hourly,50,Hour 6,50,45,55,Float,G072
Schedule:Day:Hourly,50,Hour 7,50,45,55,Float,G073
Schedule:Day:Hourly,50,Hour 8,50,45,55,Float,G074
Schedule:Day:Hourly,50,Hour 9,50,45,55,Float,G075
Schedule:Day:Hourly,50,Hour 10,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 11,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 12,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 13,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 14,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 15,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 16,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 17,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 18,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 19,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 20,50,45,55,Float,G068
Schedule:Day:Hourly,50,Hour 21,50,45,55,Float,G067
Schedule:Day:Hourly,50,Hour 22,50,45,55,Float,G068
