#,Job_ID,Reserved,Electricity
0,Job8,,284950.61
1,Job2,,284950.61
2,Job7,,284950.61
3,Job1,,284950.61
4,Job15,,284950.61
5,Job19,,284950.61
6,Job6,,284950.61
7,Job16,,284950.61
8,Job20,,284950.61
9,Job18,,284950.61
10,Job11,,284950.61
11,Job14,,284950.61
12,Job4,,284950.61
13,Job12,,284950.61
14,Job10,,284950.61
15,Job13,,284950.61
16,Job5,,284950.61
17,Job9,,284950.61
18,Job3,,284950.61
19,Job17,,284950.61
20,Job23,,284950.61
21,Job21,,284950.61
22,Job26,,284950.61
23,Job24,,284950.61
24,Job32,,284950.61
25,Job22,,284950.61
26,Job36,,284950.61
27,Job28,,284950.61
28,Job25,,284950.61
29,Job27,,284950.61
30,Job35,,284950.61
31,Job40,,284950.61
32,Job31,,284950.61
33,Job34,,284950.61
34,Job38,,284950.61
35,Job30,,284950.61
36,Job33,,284950.61
37,Job29,,284950.61
38,Job37,,284950.61
39,Job39,,284950.61
40,Job41,,284950.61
41,Job46,,284950.61
42,Job42,,284950.61
43,Job43,,284950.61
44,Job44,,284950.61
45,Job49,,284950.61
46,Job55,,284950.61
47,Job48,,284950.61
48,Job53,,284950.61
49,Job45,,284950.61
50,Job47,,284950.61
51,Job51,,284950.61
52,Job52,,284950.61
53,Job57,,284950.61
54,Job56,,284950.61
55,Job50,,284950.61
56,Job58,,284950.61
57,Job60,,284950.61
58,Job54,,284950.61
59,Job59,,284950.61
60,Job61,,284950.61
61,Job64,,284950.61
62,Job62,,284950.61
63,Job63,,284950.61
64,Job65,,284950.61
65,Job66,,284950.61
66,Job70,,284950.61
67,Job68,,284950.61
68,Job67,,284950.61
69,Job73,,284950.61
70,Job69,,284950.61
71,Job72,,284950.61
72,Job74,,284950.61
73,Job71,,284950.61
74,Job76,,284950.61
75,Job75,,284950.61
76,Job78,,284950.61
77,Job77,,284950.61
78,Job80,,284950.61
79,Job79,,284950.61
80,Job85,,284950.61
81,Job84,,284950.61
82,Job82,,284950.61
83,Job86,,284950.61
84,Job83,,284950.61
85,Job81,,284950.61
86,Job87,,284950.61
87,Job89,,284950.61
88,Job88,,284950.61
89,Job92,,284950.61
90,Job91,,284950.61
91,Job90,,284950.61
92,Job93,,284950.61
93,Job94,,284950.61
94,Job98,,284985.66
95,Job99,,284920.72
96,Job96,,284950.61
97,Job97,,284950.61
98,Job100,,284968.60
99,Job95,,284950.61
100,Job101,,284934.70
101,Job103,,284914.61
102,Job104,,284979.11
103,Job102,,284993.71
104,Job105,,284927.23
105,Job106,,285015.07
106,Job130,,284950.61
107,Job131,,284950.61
108,Job132,,284950.61
109,Job109,,284899.76
110,Job108,,285012.08
111,Job107,,284897.04
112,Job110,,284978.57
113,Job111,,284927.65
114,Job115,,284930.21
115,Job112,,285005.52
116,Job114,,284974.64
117,Job116,,284987.63
118,Job113,,284906.12
119,Job117,,284918.95
120,Job118,,284966.99
121,Job119,,284936.78
122,Job120,,284969.50
123,Job123,,284950.61
124,Job126,,284950.61
125,Job122,,284950.61
126,Job124,,284950.61
127,Job125,,284950.61
128,Job121,,284935.09
129,Job127,,284950.61
130,Job129,,284950.61
131,Job128,,284950.61
132,Job149,,284950.61
133,Job134,,284950.61
134,Job133,,284950.61
135,Job135,,284950.61
136,Job138,,285294.75
137,Job140,,285313.28
138,Job137,,283889.03
139,Job136,,294213.66
140,Job139,,285222.80
141,Job141,,285202.90
142,Job143,,284950.61
143,Job148,,284950.61
144,Job147,,284950.61
145,Job145,,284950.61
146,Job142,,284950.61
147,Job146,,284950.61
148,Job144,,284950.61
149,Job151,,284950.61
150,Job150,,284950.61
151,Job153,,284950.61
152,Job154,,284950.61
153,Job152,,284950.61
154,Job155,,284950.61
155,Job156,,284950.61
156,Job157,,284950.61
157,Job158,,284950.61
158,Job159,,284950.61
159,Job160,,284950.61
160,Job161,,284950.61
161,Job162,,284950.61
162,Job170,,284670.53
163,Job168,,284950.61
164,Job169,,284950.61
165,Job171,,285226.22
166,Job174,,284950.61
167,Job173,,284950.61
168,Job172,,284950.61
169,Job175,,284950.61
170,Job163,,284950.61
171,Job164,,284950.61
172,Job166,,284950.61
173,Job165,,284950.61
174,Job167,,284950.61
175,Job176,,284950.61
176,Job177,,284950.61
177,Job181,,284950.61
178,Job179,,284950.61
179,Job178,,284950.61
180,Job180,,284950.61
181,Job182,,284380.07
182,Job184,,284950.61
183,Job183,,285510.91
184,Job185,,284950.61
185,Job186,,284950.61
186,Job187,,284950.61
187,Job218,,284808.12
188,Job189,,284950.61
189,Job190,,284950.61
190,Job191,,284950.61
191,Job193,,284950.61
192,Job192,,284950.61
193,Job188,,284950.61
194,Job194,,283752.56
195,Job195,,286104.03
196,Job196,,284950.61
197,Job198,,284950.61
198,Job200,,284950.61
199,Job199,,284950.61
200,Job197,,284950.61
201,Job201,,284950.61
202,Job202,,284950.61
203,Job203,,284950.61
204,Job205,,284950.61
205,Job207,,284950.61
206,Job206,,284950.61
207,Job204,,284950.61
208,Job208,,284950.61
209,Job209,,284950.61
210,Job211,,284950.61
211,Job210,,284950.61
212,Job214,,284950.61
213,Job215,,284950.61
214,Job213,,284950.61
215,Job212,,284950.61
216,Job216,,284950.61
217,Job217,,284950.61
218,Job234,,284950.61
219,Job240,,284950.61
220,Job219,,285091.33
221,Job220,,284950.61
222,Job223,,284950.61
223,Job222,,284950.61
224,Job226,,284950.61
225,Job230,,284944.92
226,Job221,,284950.61
227,Job225,,284950.61
228,Job228,,284950.61
229,Job227,,284950.61
230,Job250,,284950.61
231,Job231,,284956.21
232,Job232,,284950.61
233,Job229,,284950.61
234,Job224,,284950.61
235,Job233,,284950.61
236,Job251,,284950.61
237,Job235,,284950.61
238,Job236,,284950.61
239,Job238,,284950.61
240,Job252,,284950.61
241,Job237,,284950.61
242,Job239,,284950.61
243,Job241,,284950.61
244,Job243,,284950.61
245,Job242,,284950.61
246,Job247,,284950.61
247,Job245,,284950.61
248,Job244,,284950.61
249,Job246,,284950.61
250,Job248,,284950.61
251,Job249,,284950.61
252,Job269,,284950.61
253,Job253,,284950.61
254,Job254,,284814.32
255,Job270,,284950.61
256,Job255,,285089.13
257,Job271,,284950.61
258,Job256,,284950.61
259,Job261,,284950.61
260,Job259,,284950.61
261,Job260,,284950.61
262,Job272,,284950.61
