#,Job_ID,Reserved,DistrictHeating
0,Job1204,,253313.68
1,Job1211,,253296.10
2,Job1216,,253328.23
3,Job1238,,253335.88
4,Job1206,,253294.11
5,Job1201,,253298.12
6,Job1231,,253274.17
7,Job1208,,253295.12
8,Job1207,,253298.10
9,Job1226,,253293.13
10,Job1202,,253296.10
11,Job1209,,253297.08
12,Job1236,,253296.10
13,Job1215,,253296.94
14,Job1212,,253328.23
15,Job1228,,253296.10
16,Job1223,,253296.16
17,Job1205,,253268.94
18,Job1218,,253295.28
19,Job1214,,253295.28
20,Job1234,,253295.24
21,Job1232,,253294.54
22,Job1227,,253299.04
23,Job1225,,252981.05
24,Job1235,,253296.92
25,Job1210,,253296.10
26,Job1203,,253296.10
27,Job1233,,253297.62
28,Job1230,,253310.21
29,Job1229,,253296.10
30,Job1213,,253276.45
31,Job1221,,253332.38
32,Job1217,,253276.45
33,Job1239,,253271.46
34,Job1224,,253641.17
35,Job1237,,253296.10
36,Job1222,,253296.05
37,Job1219,,253296.94
38,Job1220,,253271.22
39,Job1240,,253294.87
40,Job1241,,253297.31
41,Job1242,,253335.88
42,Job1247,,253342.06
43,Job1243,,253271.46
44,Job1244,,253294.87
45,Job1248,,253296.05
46,Job1246,,253264.66
47,Job1245,,253297.31
48,Job1257,,253257.05
49,Job1255,,253296.10
50,Job1253,,253300.63
51,Job1258,,253291.29
52,Job1256,,253321.30
53,Job1249,,253296.16
54,Job1259,,253300.91
55,Job1251,,252783.61
56,Job1254,,253296.10
57,Job1252,,253291.58
58,Job1250,,253836.46
59,Job1260,,253293.82
60,Job1262,,253296.10
61,Job1267,,253301.85
62,Job1264,,253458.83
63,Job1265,,253196.33
64,Job1269,,253379.79
65,Job1263,,253296.10
66,Job1272,,253740.21
67,Job1268,,253238.90
68,Job1266,,253290.37
69,Job1276,,253296.10
70,Job1261,,253298.39
71,Job1271,,253296.21
72,Job1270,,253295.99
73,Job1274,,253292.71
74,Job1278,,253317.27
75,Job1273,,252878.79
76,Job1275,,253299.41
77,Job1279,,253261.94
78,Job1277,,253296.10
79,Job1280,,253291.22
80,Job1281,,253300.21
81,Job1282,,253294.13
82,Job1284,,253296.10
83,Job1283,,253298.08
84,Job1286,,253432.44
85,Job1287,,253212.76
86,Job1291,,253376.09
87,Job1290,,253241.54
88,Job1285,,253296.10
89,Job1293,,253296.21
90,Job1292,,253296.00
91,Job1288,,253291.63
92,Job1289,,253300.58
93,Job1298,,253296.10
94,Job1297,,253297.08
95,Job1295,,253097.89
96,Job1299,,253296.10
97,Job1294,,253513.60
98,Job1296,,253295.12
99,Job1300,,253302.30
100,Job1301,,253286.50
101,Job1302,,253295.38
102,Job1303,,253296.83
103,Job1305,,253296.41
104,Job1304,,253295.80
105,Job1307,,253296.10
106,Job1306,,253296.10
107,Job1312,,253296.01
108,Job1309,,253290.83
109,Job1311,,253296.28
110,Job1310,,253295.93
111,Job1308,,253304.60
112,Job1313,,253296.20
113,Job1317,,253296.34
114,Job1315,,253235.93
115,Job1318,,253296.10
116,Job1314,,253363.29
117,Job1316,,253295.85
118,Job1319,,253296.10
119,Job1320,,253302.28
120,Job1321,,253286.52
121,Job1322,,253295.55
122,Job1325,,253296.33
123,Job1323,,253296.63
124,Job1324,,253295.88
125,Job1326,,253296.10
126,Job1331,,253296.20
127,Job1327,,253296.10
128,Job1328,,253302.48
129,Job1330,,253295.99
130,Job1334,,253729.78
131,Job1329,,253292.16
132,Job1333,,253296.19
133,Job1336,,253293.04
134,Job1339,,253296.10
135,Job1337,,253299.09
136,Job1335,,252891.68
137,Job1332,,253296.01
138,Job1338,,253296.10
139,Job1359,,253296.31
140,Job1340,,253321.19
141,Job1341,,253257.23
142,Job1342,,253292.08
143,Job1343,,253300.14
144,Job1344,,253294.21
145,Job1345,,253297.98
146,Job1346,,253296.10
147,Job1348,,253428.00
148,Job1353,,253372.38
149,Job1347,,253296.10
150,Job1352,,253244.19
151,Job1355,,253296.21
152,Job1350,,253292.17
153,Job1356,,253357.57
154,Job1357,,253240.67
155,Job1354,,253296.00
156,Job1351,,253300.03
157,Job1349,,253215.44
158,Job1358,,253295.89
159,Job1360,,253296.10
160,Job1361,,253296.10
161,Job1362,,253301.83
162,Job1364,,253295.64
163,Job1363,,253287.23
164,Job1366,,253295.91
165,Job1365,,253296.56
166,Job1367,,253296.30
167,Job1368,,253296.10
168,Job1369,,253296.10
169,Job1370,,253301.96
170,Job1375,,253296.19
171,Job1376,,254009.47
172,Job1374,,253296.01
173,Job1373,,253296.19
174,Job1377,,252661.79
175,Job1371,,253292.53
176,Job1372,,253296.01
177,Job1378,,253292.36
178,Job1379,,253299.90
179,Job1380,,253296.10
180,Job1381,,253296.10
181,Job1401,,253296.10
182,Job1382,,253326.54
183,Job1383,,253249.18
184,Job1384,,253292.49
185,Job1386,,253294.58
186,Job1385,,253299.75
187,Job1387,,253297.64
188,Job1389,,253296.10
189,Job1388,,253296.10
190,Job1390,,253323.65
191,Job1393,,253296.76
192,Job1396,,253809.97
193,Job1392,,253295.44
194,Job1394,,253296.01
195,Job1395,,253296.19
196,Job1398,,253292.25
197,Job1399,,253299.86
198,Job1391,,253279.13
199,Job1397,,252823.79
200,Job1400,,253296.10
201,Job1403,,253258.91
202,Job1402,,253320.27
203,Job1421,,253299.98
204,Job1404,,253291.76
205,Job1405,,253300.51
206,Job1407,,253298.15
207,Job1406,,253294.07
208,Job1408,,253296.10
209,Job1409,,253296.10
210,Job1410,,253456.24
211,Job1411,,253197.03
212,Job1412,,253290.31
213,Job1420,,253292.25
214,Job1413,,253301.06
215,Job1414,,253228.83
216,Job1419,,252832.13
217,Job1415,,253394.63
218,Job1418,,253806.57
219,Job1416,,253296.00
220,Job1417,,253296.20
221,Job1422,,253296.10
222,Job1423,,253296.10
223,Job1424,,253329.63
224,Job1425,,253244.95
225,Job1427,,253302.11
226,Job1428,,253293.43
227,Job1429,,253298.80
228,Job1430,,253296.10
