#,Job_ID,Reserved,Electricity
0,Job2425,,284950.61
1,Job2442,,284950.61
2,Job2443,,284950.61
3,Job2439,,285033.53
4,Job2414,,284950.61
5,Job2404,,284950.61
6,Job2407,,284950.61
7,Job2412,,284950.61
8,Job2419,,285081.58
9,Job2401,,284950.61
10,Job2434,,284950.61
11,Job2411,,285009.74
12,Job2422,,284950.61
13,Job2408,,284950.61
14,Job2413,,284950.61
15,Job2406,,284950.61
16,Job2424,,284950.61
17,Job2405,,284950.61
18,Job2423,,284950.61
19,Job2402,,284950.61
20,Job2409,,284950.61
21,Job2421,,284950.61
22,Job2415,,284950.61
23,Job2403,,284950.61
24,Job2426,,284950.61
25,Job2410,,284912.51
26,Job2441,,284950.61
27,Job2432,,284950.61
28,Job2437,,284950.61
29,Job2440,,284950.61
30,Job2417,,284950.61
31,Job2420,,284950.61
32,Job2428,,284950.61
33,Job2436,,284950.61
34,Job2433,,284950.61
35,Job2427,,284950.61
36,Job2431,,284977.94
37,Job2438,,284816.75
38,Job2430,,284933.00
39,Job2416,,284950.61
40,Job2418,,284739.19
41,Job2429,,284950.61
42,Job2435,,284950.61
43,Job2465,,284950.61
44,Job2479,,284950.61
45,Job2485,,284950.61
46,Job2486,,284950.61
47,Job2444,,284950.61
48,Job2488,,284950.61
49,Job2450,,284950.61
50,Job2446,,284950.61
51,Job2445,,284950.61
52,Job2448,,284950.61
53,Job2451,,284950.61
54,Job2461,,285020.37
55,Job2454,,284950.61
56,Job2447,,284950.61
57,Job2449,,284950.61
58,Job2453,,285079.90
59,Job2455,,284950.61
60,Job2460,,284838.00
61,Job2459,,284950.61
62,Job2457,,284950.61
63,Job2480,,284950.61
64,Job2452,,284867.29
65,Job2463,,284950.61
66,Job2458,,284950.61
67,Job2456,,284950.61
68,Job2478,,284950.61
69,Job2470,,284950.61
70,Job2464,,284950.61
71,Job2467,,284950.61
72,Job2462,,284950.61
73,Job2481,,284950.61
74,Job2471,,284950.61
75,Job2472,,284950.61
76,Job2469,,284950.61
77,Job2477,,284950.61
78,Job2466,,284950.61
79,Job2483,,285006.13
80,Job2482,,284860.99
81,Job2468,,284950.61
82,Job2484,,284950.61
83,Job2474,,284884.30
84,Job2476,,284950.61
85,Job2473,,284950.61
86,Job2475,,285053.51
87,Job2490,,284950.61
88,Job2487,,284950.61
89,Job2489,,284950.61
90,Job2531,,284950.61
91,Job2493,,284950.61
92,Job2492,,284950.61
93,Job2495,,284950.61
94,Job2496,,284949.37
95,Job2494,,284950.61
96,Job2498,,284950.61
97,Job2499,,284950.61
98,Job2497,,284952.53
99,Job2491,,284950.61
100,Job2500,,284950.61
101,Job2501,,284950.61
102,Job2502,,284950.61
103,Job2507,,284950.61
104,Job2503,,284950.61
105,Job2509,,284950.61
106,Job2504,,284942.92
107,Job2508,,284950.61
108,Job2505,,284955.38
109,Job2510,,284950.61
110,Job2506,,284950.61
111,Job2512,,284950.61
112,Job2511,,284950.61
113,Job2516,,284937.97
114,Job2513,,284950.61
115,Job2525,,284958.35
116,Job2523,,284950.61
117,Job2514,,284950.61
118,Job2518,,284950.61
119,Job2521,,284950.61
120,Job2515,,284950.61
121,Job2524,,284938.12
122,Job2517,,284970.22
123,Job2522,,284950.61
124,Job2528,,284950.61
125,Job2527,,284950.61
126,Job2520,,284950.61
127,Job2526,,284950.61
128,Job2519,,284950.61
129,Job2529,,284950.61
130,Job2530,,284950.61
131,Job2538,,284950.61
132,Job2537,,285048.66
133,Job2540,,284950.61
134,Job2543,,284950.61
135,Job2539,,284950.61
136,Job2542,,284950.61
137,Job2541,,284950.61
138,Job2572,,284950.61
139,Job2573,,284950.61
140,Job2532,,284950.61
141,Job2581,,284950.61
142,Job2533,,284950.61
143,Job2534,,284950.61
144,Job2535,,284950.61
145,Job2536,,284887.42
146,Job2545,,285078.00
147,Job2582,,284948.89
148,Job2544,,284744.97
149,Job2549,,284950.61
150,Job2546,,284950.61
151,Job2564,,284950.61
152,Job2548,,284950.61
153,Job2551,,284950.61
154,Job2547,,284950.61
155,Job2558,,284919.31
156,Job2550,,284950.61
157,Job2562,,284950.61
158,Job2557,,284950.61
159,Job2566,,284890.69
160,Job2559,,284999.18
161,Job2569,,284950.61
162,Job2554,,284950.61
163,Job2555,,284950.61
164,Job2560,,284950.61
165,Job2552,,284950.61
166,Job2553,,284950.61
167,Job2561,,284950.61
168,Job2567,,284987.73
169,Job2563,,284950.61
170,Job2568,,284950.61
171,Job2556,,284950.61
172,Job2565,,284950.61
173,Job2570,,284890.69
174,Job2571,,284987.73
175,Job2575,,284950.61
176,Job2574,,284950.61
177,Job2578,,284950.61
178,Job2579,,284950.61
179,Job2577,,284950.61
180,Job2576,,284950.61
181,Job2580,,284950.61
182,Job2587,,284950.61
183,Job2589,,284950.61
184,Job2588,,284950.61
185,Job2624,,284874.87
186,Job2583,,284953.28
187,Job2625,,285068.14
188,Job2626,,284950.61
189,Job2584,,284950.61
190,Job2585,,284950.61
191,Job2586,,284950.61
192,Job2627,,284950.61
193,Job2628,,284950.61
194,Job2592,,284950.61
195,Job2590,,284950.61
196,Job2593,,284950.61
197,Job2598,,284817.37
198,Job2594,,284950.61
199,Job2597,,284950.61
200,Job2595,,284950.61
201,Job2591,,284950.61
202,Job2596,,284950.61
203,Job2604,,284950.61
204,Job2599,,285157.37
205,Job2606,,284592.05
206,Job2610,,284592.05
207,Job2603,,284950.61
208,Job2615,,284950.61
209,Job2602,,284950.61
210,Job2609,,284950.61
211,Job2605,,284950.61
212,Job2601,,284950.61
213,Job2612,,284950.61
214,Job2607,,285172.73
215,Job2616,,284950.61
216,Job2613,,284950.61
217,Job2608,,284950.61
218,Job2611,,285172.73
219,Job2600,,284950.61
220,Job2614,,284950.61
221,Job2631,,284950.61
222,Job2632,,284532.42
223,Job2633,,285209.67
224,Job2617,,284950.61
225,Job2619,,284950.61
226,Job2621,,284950.61
227,Job2622,,284950.61
228,Job2618,,284950.61
229,Job2620,,284950.61
230,Job2623,,284950.61
231,Job2637,,284950.61
232,Job2630,,284950.61
233,Job2629,,284950.61
234,Job2634,,284950.61
235,Job2635,,284950.61
236,Job2639,,284950.61
237,Job2636,,284950.61
238,Job2638,,284950.61
239,Job2640,,284950.61
240,Job2641,,284950.61
241,Job2642,,284950.61
242,Job2643,,284950.61
243,Job2644,,284950.61
244,Job2646,,284947.48
245,Job2645,,284950.61
246,Job2648,,284950.61
247,Job2652,,284950.61
248,Job2650,,284950.61
249,Job2651,,284950.61
250,Job2649,,284950.61
251,Job2647,,284955.47
252,Job2653,,284950.61
253,Job2655,,284962.11
254,Job2659,,284950.61
255,Job2658,,284950.61
256,Job2654,,284932.05
257,Job2660,,284950.61
258,Job2657,,284950.61
259,Job2656,,284950.61
260,Job2661,,284950.61
261,Job2662,,284950.61
262,Job2663,,284950.61
263,Job2664,,284950.61
264,Job2665,,284950.61
265,Job2666,,284929.03
266,Job2667,,284984.10
267,Job2669,,284950.61
268,Job2671,,284950.61
269,Job2670,,284950.61
270,Job2668,,284950.61
271,Job2672,,284950.61
272,Job2673,,284950.61
273,Job2674,,284932.27
274,Job2675,,284961.97
275,Job2685,,284950.61
276,Job2676,,284950.61
277,Job2677,,284950.61
278,Job2678,,284950.61
279,Job2680,,284950.61
280,Job2679,,284950.61
281,Job2682,,284950.61
282,Job2681,,284950.61
283,Job2683,,284950.61
284,Job2684,,284950.61
285,Job2686,,284946.77
286,Job2687,,284956.58
287,Job2688,,284950.61
288,Job2689,,284950.61
289,Job2690,,284950.61
290,Job2691,,284950.61
291,Job2692,,284950.61
292,Job2693,,284950.61
293,Job2694,,284946.81
294,Job2695,,284952.97
295,Job2696,,284950.61
296,Job2697,,284950.61
297,Job2716,,284950.61
298,Job2698,,284950.61
299,Job2699,,284950.61
300,Job2702,,284950.61
301,Job2700,,284950.61
302,Job2703,,284950.61
303,Job2701,,284950.61
304,Job2704,,284950.61
305,Job2705,,284950.61
306,Job2706,,284946.77
307,Job2707,,284956.58
308,Job2709,,284950.61
309,Job2708,,284950.61
310,Job2711,,284950.61
311,Job2710,,284950.61
312,Job2712,,284950.61
313,Job2713,,284950.61
314,Job2714,,284946.81
315,Job2715,,284952.97
