#,Job_ID,Reserved,DistrictHeating
0,Job2425,,253052.02
1,Job2442,,253266.97
2,Job2443,,253338.48
3,Job2439,,253248.39
4,Job2414,,253293.15
5,Job2404,,256377.73
6,Job2407,,253325.26
7,Job2412,,253289.51
8,Job2419,,253223.76
9,Job2401,,253317.22
10,Job2434,,253294.58
11,Job2411,,253255.23
12,Job2422,,253296.01
13,Job2408,,253296.10
14,Job2413,,253302.27
15,Job2406,,253266.65
16,Job2424,,253558.53
17,Job2405,,250611.03
18,Job2423,,253296.19
19,Job2402,,253296.05
20,Job2409,,253296.10
21,Job2421,,253301.16
22,Job2415,,253299.06
23,Job2403,,253296.15
24,Job2426,,253292.97
25,Job2410,,253322.19
26,Job2441,,253300.12
27,Job2432,,253292.71
28,Job2437,,253296.10
29,Job2440,,253292.09
30,Job2417,,253296.10
31,Job2420,,253291.05
32,Job2428,,253296.10
33,Job2436,,253296.10
34,Job2433,,253299.50
35,Job2427,,253299.25
36,Job2431,,253278.18
37,Job2438,,253373.59
38,Job2430,,253307.66
39,Job2416,,253296.10
40,Job2418,,253412.59
41,Job2429,,253296.10
42,Job2435,,253297.63
43,Job2465,,253331.59
44,Job2479,,253298.35
45,Job2485,,253297.35
46,Job2486,,253276.72
47,Job2444,,253296.00
48,Job2488,,253296.02
49,Job2450,,253296.10
50,Job2446,,253521.54
51,Job2445,,253296.20
52,Job2448,,253293.88
53,Job2451,,253296.10
54,Job2461,,253256.93
55,Job2454,,253286.05
56,Job2447,,253090.02
57,Job2449,,253298.33
58,Job2453,,253231.86
59,Job2455,,253306.59
60,Job2460,,253365.24
61,Job2459,,253296.10
62,Job2457,,253300.31
63,Job2480,,253296.10
64,Job2452,,253338.37
65,Job2463,,253299.00
66,Job2458,,253296.10
67,Job2456,,253291.86
68,Job2478,,253294.21
69,Job2470,,253295.13
70,Job2464,,253271.84
71,Job2467,,253296.20
72,Job2462,,253293.61
73,Job2481,,253296.10
74,Job2471,,253297.03
75,Job2472,,253296.10
76,Job2469,,253176.35
77,Job2477,,253301.19
78,Job2466,,253296.01
79,Job2483,,253272.09
80,Job2482,,253335.86
81,Job2468,,253435.38
82,Job2484,,253294.82
83,Job2474,,253324.26
84,Job2476,,253291.61
85,Job2473,,253296.10
86,Job2475,,253254.93
87,Job2490,,253401.25
88,Job2487,,253324.18
89,Job2489,,253296.19
90,Job2531,,252895.99
91,Job2493,,253297.14
92,Job2492,,253295.07
93,Job2495,,253296.10
94,Job2496,,253296.93
95,Job2494,,253296.10
96,Job2498,,253295.88
97,Job2499,,253296.32
98,Job2497,,253294.82
99,Job2491,,253200.00
100,Job2500,,253296.00
101,Job2501,,253296.21
102,Job2502,,253296.10
103,Job2507,,253296.28
104,Job2503,,253296.10
105,Job2509,,253296.19
106,Job2504,,253300.17
107,Job2508,,253296.02
108,Job2505,,253293.59
109,Job2510,,253368.05
110,Job2506,,253295.92
111,Job2512,,253295.50
112,Job2511,,253230.23
113,Job2516,,253302.17
114,Job2513,,253296.71
115,Job2525,,253291.90
116,Job2523,,253296.10
117,Job2514,,253296.10
118,Job2518,,253294.89
119,Job2521,,253296.62
120,Job2515,,253296.10
121,Job2524,,253302.95
122,Job2517,,253286.75
123,Job2522,,253296.10
124,Job2528,,253296.02
125,Job2527,,253296.36
126,Job2520,,253295.59
127,Job2526,,253295.85
128,Job2519,,253297.32
129,Job2529,,253296.19
130,Job2530,,253730.76
131,Job2538,,253285.20
132,Job2537,,253232.84
133,Job2540,,253291.20
134,Job2543,,253296.10
135,Job2539,,253307.02
136,Job2542,,253296.10
137,Job2541,,253301.01
138,Job2572,,253295.25
139,Job2573,,253296.96
140,Job2532,,253291.08
141,Job2581,,253296.10
142,Job2533,,253301.13
143,Job2534,,253296.10
144,Job2535,,253296.10
145,Job2536,,253337.02
146,Job2545,,253218.69
147,Job2582,,253296.36
148,Job2544,,253423.19
149,Job2549,,253361.25
150,Job2546,,253289.81
151,Job2564,,253296.10
152,Job2548,,253251.61
153,Job2551,,253296.21
154,Job2547,,253302.41
155,Job2558,,253310.68
156,Job2550,,253296.00
157,Job2562,,253295.10
158,Job2557,,253296.10
159,Job2566,,253320.98
160,Job2559,,253273.52
161,Job2569,,253296.96
